一级分类,二级分类,三级分类,商品id,好评数
16750,16755,16806,100051040178,20
16750,16755,16806,100048540988,10
16750,16755,16806,100048099560,300
16750,16755,16806,10036888863869,400
16750,16755,16806,10032476847502,900
16750,16755,16806,10029247410304,700
16750,16755,16806,30891949100,5000
16750,16755,16806,100048847351,100
16750,16755,16806,100000428118,26000
16750,16755,16806,100045497641,30
16750,16755,16806,46422514821,300
16750,16755,16806,10035437945677,700
16750,16755,16806,100008217040,10000
16750,16755,16806,10061717130426,40
16750,16755,16806,10022865824756,400
16750,16755,16806,10032815724788,70
16750,16755,16806,100051077402,80
16750,16755,16806,10021138529527,90
16750,16755,16806,10039783367171,200
16750,16755,16806,10073147311968,10
16750,16755,16806,33290129818,2700
16750,16755,16806,10044948412941,5100
16750,16755,16806,57964438769,1900
16750,16755,16806,10045027651532,500
16750,16755,16806,72473558951,300
16750,16755,16806,10032912223486,3500
16750,16755,16806,10073983819640,20
16750,16755,16806,10027249376081,80
16750,16755,16806,100014155776,7500
16750,16755,16806,63781642214,1100
16750,16755,16806,13893521918,800
16750,16755,16806,10055240778739,3500
16750,16755,16806,10023586793429,3500
16750,16755,16806,1019874999,1700
16750,16755,16806,10073311044473,0
16750,16755,16806,10027428472371,400
16750,16755,16806,55237781749,500
16750,16755,16806,10730918651,4000
16750,16755,16806,100051077398,90
16750,16755,16806,10063206929332,200
16750,16755,16806,100057865293,100
16750,16755,16806,100039195312,92000
16750,16755,16806,10057275912144,90
16750,16755,16806,10041383243599,3600
16750,16755,16806,100041171666,40
16750,16755,16806,10030749598387,1000
16750,16755,16806,41499476570,2300
16750,16755,16806,100042817875,100000
16750,16755,16806,10071544617453,100
16750,16755,16806,10058921136402,400
16750,16755,16806,10072562224084,400
16750,16755,16806,10364766633,3500
16750,16755,16806,10070427883768,10
16750,16755,16806,66275417551,700
16750,16755,16806,1267881983,1800
16750,16755,16806,10043952423037,2600
16750,16755,16806,1343097263,21000
16750,16755,16806,42844784577,10000
16750,16755,16806,72497041538,1300
16750,16755,16806,100016252156,1400
16750,16755,16806,10056601233250,1700
16750,16755,16806,50024175758,400
16750,16755,16806,100050650030,50
16750,16755,16806,1246908089,800
16750,16755,16806,100052696870,29000
16750,16755,16806,47370265950,200
16750,16755,16806,70966207992,3000
16750,16755,16806,72252920247,200
16750,16755,16806,10040549622100,3900
16750,16755,16806,10035630084075,700
16750,16755,16806,100030276219,10
